file,level_mA,heat_ms,cycle,bootstrap,railed,i_mA,dx_um,x_base_um,F_base_mN,dF_mN,clipped
level_150mA_h100ms,150,100,1,1,0,131.91,62.52,-4713.88,242.226,3.169,0
level_150mA_h100ms,150,100,2,0,0,155.06,22.90,-4593.35,245.917,1.946,0
level_150mA_h100ms,150,100,3,0,0,157.41,30.57,-4603.12,245.538,1.921,0
level_150mA_h100ms,150,100,4,0,0,155.08,21.79,-4638.56,244.455,1.849,0
level_150mA_h100ms,150,100,5,0,0,155.77,14.59,-4644.36,244.299,1.601,0
level_150mA_h100ms,150,100,6,0,0,157.20,13.11,-4663.90,243.629,1.324,0
level_150mA_h200ms,150,200,1,1,0,294.75,28.31,-3776.43,271.098,1.660,0
level_150mA_h200ms,150,200,2,0,0,292.90,88.01,-3770.23,271.199,4.001,0
level_150mA_h200ms,150,200,3,0,0,294.53,125.52,-3625.95,275.695,4.117,0
level_150mA_h200ms,150,200,4,0,0,307.72,924.24,-1460.59,341.921,29.263,0
level_150mA_h200ms,150,200,5,0,0,307.42,143.44,1678.82,439.571,5.176,0
level_150mA_h300ms,150,300,1,1,1,145.03,2.46,-4954.36,201.214,3.196,0
level_150mA_h300ms,150,300,2,0,1,155.07,-2.53,-4954.22,203.801,2.557,0
level_150mA_h300ms,150,300,3,0,1,156.45,-2.61,-4954.15,205.722,2.279,0
level_150mA_h300ms,150,300,4,0,1,156.47,-2.62,-4954.13,204.211,2.165,0
level_150mA_h300ms,150,300,5,0,1,155.44,-2.58,-4954.20,203.603,2.163,0
level_150mA_h300ms,150,300,6,0,1,155.45,-2.68,-4954.10,204.625,2.119,0
level_250mA_h100ms,250,100,1,1,0,253.12,43.10,-4659.33,243.767,2.605,0
level_250mA_h100ms,250,100,2,0,0,250.27,43.17,-4612.44,245.249,2.067,0
level_250mA_h100ms,250,100,3,0,0,250.51,50.13,-4628.86,244.669,2.834,0
level_250mA_h100ms,250,100,4,0,0,251.51,41.65,-4633.64,244.512,2.467,0
level_250mA_h100ms,250,100,5,0,0,251.09,51.82,-4655.06,243.769,3.083,0
level_250mA_h200ms,250,200,1,1,1,250.90,2.78,-4954.08,225.845,4.288,0
level_250mA_h200ms,250,200,2,0,1,251.38,2.94,-4954.18,223.585,4.248,0
level_250mA_h200ms,250,200,3,0,1,252.68,2.89,-4954.16,224.285,3.680,0
level_250mA_h200ms,250,200,4,0,0,348.56,184.52,-4792.01,239.982,6.492,0
level_250mA_h200ms,250,200,5,0,0,348.16,157.40,-4777.13,240.297,5.368,0
level_350mA_h100ms,350,100,1,1,0,347.67,95.11,-4675.46,243.455,4.068,0
level_350mA_h100ms,350,100,2,0,0,473.96,160.30,-4236.68,257.108,6.123,0
level_350mA_h100ms,350,100,3,0,0,472.20,171.03,-4276.77,255.691,6.729,0
level_350mA_h100ms,350,100,4,0,0,470.60,173.50,-4208.40,257.800,6.419,0
level_350mA_h100ms,350,100,5,0,0,463.59,178.56,-4268.01,256.073,6.837,0
level_350mA_h200ms,350,200,1,1,1,349.59,3.49,-4954.11,221.982,8.266,0
level_350mA_h200ms,350,200,2,0,0,476.43,445.06,-4909.75,236.567,14.427,0
level_350mA_h200ms,350,200,3,0,1,478.26,349.30,-4953.84,233.485,13.402,0
level_350mA_h200ms,350,200,4,0,1,477.09,413.73,-4943.12,235.214,13.906,0
level_350mA_h200ms,350,200,5,0,1,467.55,357.26,-4953.86,233.372,13.390,0
level_450mA_h100ms,450,100,1,1,0,444.01,169.71,-4754.12,241.407,5.800,0
level_450mA_h100ms,450,100,2,0,0,448.48,173.64,-4748.65,241.443,6.154,0
level_450mA_h100ms,450,100,3,0,0,445.32,174.41,-4755.96,241.060,6.476,0
level_450mA_h100ms,450,100,4,0,0,445.39,151.99,-4738.32,241.505,5.273,0
level_450mA_h100ms,450,100,5,0,0,448.16,171.06,-4780.70,240.474,5.910,0
level_450mA_h100ms,450,100,6,0,0,209.42,558.70,-4749.71,241.337,18.079,0
level_450mA_h200ms,450,200,1,1,1,621.57,812.79,-4953.79,232.713,28.374,0
level_450mA_h200ms,450,200,2,0,0,635.51,938.36,-4787.41,239.910,30.407,0
level_450mA_h200ms,450,200,3,0,0,645.46,1136.25,-4631.55,244.727,35.976,0
level_450mA_h200ms,450,200,4,0,0,645.41,1302.38,-4413.14,251.391,40.713,0
level_450mA_h200ms,450,200,5,0,0,644.34,1132.08,-4486.94,249.008,36.361,0
level_550mA_h100ms,550,100,1,1,0,543.73,266.46,-4791.94,240.179,8.468,0
level_550mA_h100ms,550,100,2,0,0,545.91,262.18,-4767.61,240.670,8.669,0
level_550mA_h100ms,550,100,3,0,0,545.63,262.42,-4780.81,240.290,8.447,0
level_550mA_h100ms,550,100,4,0,0,545.52,265.95,-4767.78,240.771,8.815,0
level_550mA_h100ms,550,100,5,0,0,545.53,259.87,-4759.19,240.962,9.090,0
level_550mA_h200ms,550,200,1,1,1,230.85,-3.03,-4954.20,214.992,6.954,0
level_550mA_h200ms,550,200,2,0,1,547.15,80.89,-4954.17,219.981,18.509,0
level_550mA_h200ms,550,200,3,0,1,546.56,4.92,-4954.15,217.754,18.492,0
level_550mA_h200ms,550,200,4,0,1,548.66,18.73,-4954.14,219.251,17.421,0
level_550mA_h200ms,550,200,5,0,1,548.49,5.12,-4954.12,217.918,17.296,0
level_550mA_h200ms,550,200,6,0,1,547.44,4.83,-4954.13,218.239,17.736,0
level_650mA_h100ms,650,100,1,1,0,644.42,362.80,-4765.81,241.143,11.248,0
level_650mA_h100ms,650,100,2,0,0,643.46,348.00,-4789.84,239.941,11.191,0
level_650mA_h100ms,650,100,3,0,0,749.87,496.64,-4769.82,240.701,16.360,0
level_650mA_h100ms,650,100,4,0,0,642.85,361.44,-4709.76,242.288,11.958,0
level_650mA_h100ms,650,100,5,0,0,746.21,467.59,-4793.42,239.773,15.645,0
level_650mA_h200ms,650,200,1,1,1,646.27,154.37,-4954.18,215.685,25.238,0
level_650mA_h200ms,650,200,2,0,1,752.61,632.89,-4954.13,217.733,38.495,0
level_650mA_h200ms,650,200,3,0,1,788.69,1491.34,-4953.75,230.427,51.815,0
level_650mA_h200ms,650,200,4,0,1,647.56,338.71,-4954.09,220.676,25.335,0
level_650mA_h200ms,650,200,5,0,1,645.59,304.85,-4954.06,219.507,25.667,0
level_750mA_h100ms,750,100,1,1,0,745.57,493.89,-4851.07,238.241,16.194,0
level_750mA_h100ms,750,100,2,0,0,858.66,647.20,-4782.54,240.161,21.657,0
level_750mA_h100ms,750,100,3,0,0,745.70,487.93,-4775.08,240.297,16.325,0
level_750mA_h100ms,750,100,4,0,0,743.99,485.08,-4720.44,241.744,16.398,0
level_750mA_h100ms,750,100,5,0,0,746.35,497.99,-4764.97,240.695,16.958,0
level_750mA_h200ms,750,200,1,1,1,748.14,471.84,-4954.17,214.715,35.355,0
level_750mA_h200ms,750,200,2,0,1,783.45,566.94,-4954.22,213.877,39.683,0
level_750mA_h200ms,750,200,3,0,1,746.23,478.33,-4954.20,215.557,35.015,0
level_750mA_h200ms,750,200,4,0,1,1063.13,7173.54,-4937.68,235.738,225.451,0
level_750mA_h200ms,750,200,5,0,0,1095.48,4752.16,275.65,396.219,97.287,1
level_850mA_h100ms,850,100,1,1,0,841.56,640.42,-4806.89,239.641,21.059,0
level_850mA_h100ms,850,100,2,0,0,839.78,616.11,-4777.56,240.230,20.842,0
level_850mA_h100ms,850,100,3,0,0,981.63,908.11,-4776.73,240.282,29.144,0
level_850mA_h100ms,850,100,4,0,0,843.66,646.23,-4787.43,240.057,21.600,0
level_850mA_h100ms,850,100,5,0,0,880.32,731.09,-4764.26,240.677,24.021,0
level_850mA_h200ms,850,200,1,1,1,331.89,3.15,-4953.94,206.925,12.831,0
level_850mA_h200ms,850,200,2,0,1,846.56,1009.98,-4954.01,210.644,57.760,0
level_850mA_h200ms,850,200,3,0,1,991.25,2715.31,-4954.19,214.520,107.166,0
level_850mA_h200ms,850,200,4,0,1,845.88,1181.11,-4954.20,220.544,52.081,0
level_850mA_h200ms,850,200,5,0,1,845.32,1170.79,-4954.23,219.617,53.410,0
level_850mA_h200ms,850,200,6,0,1,848.92,1114.16,-4954.18,218.322,51.971,0
level_950mA_h100ms,950,100,1,1,0,942.64,822.72,-4867.64,237.670,26.966,0
level_950mA_h100ms,950,100,2,0,0,940.03,844.40,-4821.87,239.060,27.334,0
level_950mA_h100ms,950,100,3,0,0,940.74,825.96,-4820.72,238.942,26.410,0
level_950mA_h100ms,950,100,4,0,0,947.90,847.30,-4807.15,239.462,27.484,0
level_950mA_h100ms,950,100,5,0,0,946.96,831.83,-4866.23,237.668,26.601,0
level_950mA_h200ms,950,200,1,1,1,361.47,3.31,-4954.05,202.435,14.173,0
